"","Phi","Theta"
"1",1.94680751449838,2.01789046731827
"2",1.41873345452184,1.35322697617585
"3",1.75990915551863,1.74973735050416
"4",2.03419695083173,0.998084049594
"5",1.27866260040008,0.943007925243674
"6",0.875549897780632,2.76343072766162
"7",1.65222922735421,1.41573018288274
"8",0.886554367034751,2.02552964719318
"9",1.27405055100312,1.61469783397077
"10",2.03763159169213,1.22516754049494
"11",1.13990773142914,1.13501161082036
"12",1.52417768188749,1.62944748267914
"13",1.84946608132525,2.23673347961895
"14",1.50411124193784,1.89075140921628
"15",1.40339493887998,1.32240831341001
"16",1.83207984735936,0.692435621835393
"17",1.83062976325979,2.27888165811145
"18",1.64442942783177,1.80949525521479
"19",0.865955173499946,1.90320658922769
"20",1.57414073070222,1.63062327809784
"21",1.77795354546868,1.70180406251106
"22",1.23917279290632,1.84208711543689
"23",1.58686465258858,1.39974183803091
"24",0.611809520852349,2.7286500464248
"25",1.5373281669995,2.33108210628807
"26",1.11883088756,1.4570819438218
"27",0.727358542530294,1.70406560888912
"28",1.55676950732146,1.80556345559798
"29",1.53947239441875,2.00622742723392
"30",1.3418401968066,1.35055232688152
"31",2.23206538206585,1.67938022726986
"32",1.61181986295408,1.88574013418325
"33",2.1755826457892,1.24425502633268
"34",1.77965170063799,1.14102269175991
"35",2.08564673872284,1.85070454723349
"36",2.39205325291107,2.5845950032999
"37",2.17364205282512,1.31436829775783
"38",2.41939686913825,1.44479270963206
"39",1.87540391499871,1.74292719967739
"40",1.58170331251557,1.26709978835308
"41",1.79007494789906,1.52362926078747
"42",1.89581361907858,2.10136844619237
"43",1.37314280158914,2.11773557377823
"44",2.20570300550365,1.98135157129648
"45",1.11486136087082,1.09578094256199
"46",1.86781952372604,2.55381994662938
"47",1.63321586662483,1.64765242427162
"48",1.65970780856885,1.58500534116252
"49",1.76319189036401,1.54709539899355
"50",1.7608336336583,2.09345811408734
"51",0.558373820065483,1.50480727144398
"52",1.75845638560364,1.88996703321274
"53",1.78235459723691,1.54242869104479
"54",1.42312439272488,2.27491935707149
"55",2.35263140160703,0.687490390732381
"56",2.41959023677183,1.52224752065154
"57",1.55867180973076,1.63147159598661
"58",1.50380424462413,2.19753019397895
"59",1.13342434956745,1.75188143075649
"60",2.05109510313251,1.98336842513362
"61",2.68075758868168,1.30901905439812
"62",1.43601915819536,1.39296656018027
"63",2.186053594752,2.18056513643512
"64",1.59568776818448,1.75677353159676
"65",1.70357298247798,2.79836715043658
"66",1.83281074596902,2.25015837639598
"67",2.14586343912508,1.47321320498597
"68",1.45269657624654,0.922796586885145
"69",1.54773980630157,1.83140667369664
"70",0.967143400345856,1.72646698121008
"71",1.93380321206176,1.44671210547295
"72",2.15660932427064,1.31703117622778
"73",1.41788469072282,2.50952380362038
"74",1.8261432530973,2.41875620203345
"75",2.37204193753943,2.15698190093063
"76",2.06677349980546,1.64951602615261
"77",1.97256251224708,2.67437606650295
"78",1.88264040967924,1.80986502072366
"79",1.48895431126954,1.56350653463143
"80",1.58756842754757,1.35047580335352
"81",1.70171613350552,1.97300212270697
"82",2.25094231043857,1.68949325013344
"83",1.83611134848854,1.70737728619992
"84",1.94689202716566,0.975133475362983
"85",1.22089944697011,1.45966620653434
"86",2.45703363812985,0.743094268128705
"87",1.74351960535571,2.33457216606775
"88",1.25119685214175,2.18808167496459
"89",1.7785389249828,1.76789805052433
"90",1.16486202304908,2.30644314124089
"91",1.20201191613377,2.01576414249373
"92",1.8624861720452,2.41802157833794
"93",1.97230202132794,2.16879401156875
"94",1.63060618602642,0.886297503901056
"95",2.58208952667093,1.16706365281589
"96",1.83836469436481,2.4793686837929
"97",1.76035559071772,1.2122503374326
"98",1.62882051262901,2.3610893442735
"99",2.70015467450381,0.755668825543757
"100",2.16149523022514,1.52604363782741
"101",1.37725392536621,1.6367467699909
"102",1.94910379714916,1.94803490127174
"103",1.67208052166945,1.61123274728365
"104",1.62736108262717,2.88626008974959
"105",2.019340858388,1.7498186987922
"106",1.37754830944118,1.8767523598587
"107",1.89127051917241,1.72628600354009
"108",1.38306206573754,2.00342034319432
"109",1.34113676650693,2.21426231264289
"110",1.19151156460073,1.50011834725023
"111",1.72643393163333,0.978883345083033
"112",1.98506871478461,1.49754771040062
"113",1.57375652036116,1.99429875942767
"114",1.47712592975848,2.35837789285044
"115",1.48682510658571,1.98054154685134
"116",2.31468881870962,1.76604146105422
"117",0.933110358534371,2.54214233964122
"118",1.43461292249102,1.12817118135567
"119",1.24484567882127,1.83104801074832
"120",1.79344064301579,1.39400023222483
"121",1.26985757755302,1.23539817485321
"122",1.40330900479251,2.90967954229578
"123",1.41299475886871,0.523401542582968
"124",1.7127329067039,1.56855275590924
"125",1.93738519707402,1.45588127569004
"126",1.41399441904864,2.28358266950535
"127",1.92859559129669,1.74109631096682
"128",1.70473941226258,2.03375172595507
"129",2.09466329490226,1.52073541777282
"130",2.20964522219862,1.45118181225277
